Epoch,Epoch Time,Train BCE Loss,Train GS Loss,Train RD Loss,Train Deg MMD,Train Clus MMD,Train Total Loss,Val Loss,Val auprc,Internal Val graph_sim,Internal Val relative_density,Internal Val deg_dist_mmd,Internal Val cc_mmd,Learning Rate
1,455.1171511230059,0.473128206320107,0.6715588012710213,0.31593478064891073,0.10389415353536606,0.6462500220537186,1.3498856580257417,0.7065670883327019,0.9284797426341482,0.21169260467685108,0.8420717354070743,0.16339278367845722,0.025495826186320292,1e-05
2,460.3000404579798,0.45886480648070577,0.6487314407527447,3.5613129542554947,0.06547432005405426,0.5925620341300964,4.541954364925623,0.7135016141053573,0.9283217561441455,0.22521032089061208,0.8952564020450472,0.1503105781495666,0.029459860204340327,1e-05
3,462.79544915491715,0.5131272396072745,0.6676586714386941,0.6853175378013634,0.09092454463243484,0.38316817581653595,1.6745019464194772,0.9177099148745299,0.8744044205994996,0.24951768841811767,1.2036099332425378,0.1286423084696089,0.04078649952097724,1e-05
4,460.17457944201306,0.5046380243822932,0.6320351026207209,0.18720193215878456,0.07526226758956908,0.36199958324432374,1.139036068022251,0.8024724332561955,0.9177186868136895,0.2695674756970829,1.2130172079032255,0.11042844951695185,0.04759517661541568,1e-05
5,452.2602771950187,0.5556278882175685,0.6722584387660027,1.210070611581545,0.11651668995618822,0.30178059071302415,2.227316893339157,1.0448081764610109,0.9054737651158757,0.24704678142969677,0.9709353768946014,0.1516225987328086,0.02483034108236959,1e-05
6,468.65208582999185,0.5474014764279127,0.6557160356640815,0.4637409282003438,0.09170048773288728,0.32367279976606367,1.4636124125123025,1.078604202707765,0.9109915416701204,0.2255666817594336,0.9760910847549568,0.16763742080214095,0.02405754043134678,1e-05
7,452.6911749340361,0.5608600168675184,0.626352551728487,0.37150927425198854,0.09384541779756546,0.33138049185276036,1.373113348931074,1.1379703837116872,0.9117386103083464,0.20037372986915952,0.8141538016876728,0.1725260895980405,0.01892554671637181,1e-05
8,466.3076155729359,0.6108387102559208,0.6924905560910702,0.39633087239750747,0.13455683678388597,0.2733195403218269,1.4757777750492094,1.1154081494867645,0.9057377330969796,0.2515694411262897,1.0451773562979279,0.12813284862912688,0.03968595494040472,1e-05
9,456.58226281998213,0.5512605945765972,0.6077551553025842,0.1933791700010469,0.08301772803068161,0.360309117436409,1.1815154047310352,0.8862072344761821,0.9184394872914784,0.2898474460831785,1.2966562491139937,0.10264805120365517,0.06019973622884023,1e-05
10,453.1865541979205,0.5655959781259299,0.6798961523175239,0.7249947013228677,0.11724004894495012,0.29582675933837893,1.7544587774574754,1.1739020168468395,0.912948204016496,0.20543290774505946,0.8681877215015185,0.18642915806359595,0.016556776123687333,1e-05
11,467.57988607208245,0.5552264791354536,0.6597511517256498,0.43406141685339883,0.10190625131130218,0.2933661323785782,1.4377451837062836,1.1533299279729212,0.9082700041090002,0.22762691377794958,0.9490927583884068,0.1771582372321927,0.025264120261055734,1e-05
12,452.8707947219955,0.573194594681263,0.6640165281295776,0.392779480792033,0.10859733968973159,0.30661105722188947,1.4225448724627496,0.9860050179201161,0.9206283350004039,0.2502099710094683,1.0284475159891007,0.1522419813969893,0.0315955285630356,1e-05
13,460.3479044960113,0.5545098865032196,0.6664291942119598,0.43140201165814784,0.10702684551477432,0.32051248341798777,1.447388304620981,1.135291878085124,0.918934561792264,0.23045928177220582,0.8504752316254723,0.16986524388334479,0.03028885505241874,1e-05
14,459.60510967404116,0.5678715171664953,0.660217445679009,0.34638498206001544,0.10272913247346878,0.28503828436136247,1.3606954507529734,1.089830822871113,0.9159472396949953,0.24577463808754518,0.9687158724123925,0.16242355533404984,0.034071862293193256,1e-05
